country_name,city_name,timezone_name
Mozambique,Vilankulo,Africa/Maputo
Réunion,Saint-Denis,Europe/Paris
Rwanda,Kigali,Africa/Kigali
Seychelles,Victoria,Australia/Melbourne
Somalia,Bosaso,Africa/Mogadishu
Somalia,Galkayo,Africa/Mogadishu
Somalia,Garoowe,Africa/Mogadishu
Somalia,Hargeisa,Africa/Mogadishu
Somalia,Kismayo,Africa/Mogadishu
Somalia,Mogadishu,Africa/Mogadishu
South Sudan,Juba,Africa/Juba
Tanzania,Arusha,Africa/Dar_es_Salaam
Tanzania,Dar es Salaam,Africa/Dar_es_Salaam
Tanzania,Hai District,Asia/Amman
Tanzania,Mwanza,Africa/Dar_es_Salaam
Tanzania,"Unguja, Zanzibar",Africa/Dar_es_Salaam
Uganda,Arua,Africa/Kampala
Uganda,Entebbe,Africa/Kampala
Uganda,Gulu,Africa/Kampala
Zambia,Livingstone,Africa/Lusaka
Zambia,Lusaka,Africa/Lusaka
Zambia,Ndola,Africa/Lusaka
Zimbabwe,Harare,Africa/Harare
Zimbabwe,Victoria Falls,Africa/Harare
Zimbabwe,Bulawayo,Africa/Harare
Anguilla,The Valley,Europe/London
Antigua and Barbuda,Antigua,America/Antigua
Aruba,Oranjestad,America/Aruba
Bahamas,Nassau,America/Nassau
Bahamas,Chub Cay,America/Nassau
Bahamas,Exuma,America/Nassau
Bahamas,Freeport,America/Chicago
Bahamas,South Eleuthera,America/Nassau
Bahamas,Marsh Harbour,America/Nassau
Barbados,Bridgetown,America/Barbados
British Virgin Islands,Road Town,America/Tortola
Caribbean Netherlands,"Kralendijk, Bonaire",America/Kralendijk
Caribbean Netherlands,"Oranjestad, Sint Eustatius",America/Kralendijk
Caribbean Netherlands,Saba,Asia/Kuching
Cayman Islands,Cayman Brac,America/Cayman
Cayman Islands,Georgetown,America/Guyana
Cuba,Camagüey,America/Havana
Cuba,Cayo Coco,America/Havana
Cuba,Cayo Largo del Sur,America/Havana
Cuba,Cienfuegos,America/Havana
Cuba,Havana,America/Havana
Cuba,Holguín,America/Havana
Cuba,Santa Clara,America/Los_Angeles
Cuba,Santiago de Cuba,America/Havana
